Source;LoadingType;ProblemInstance;ExecutionTime;ProblamGroup
TEMPELMEIER;DISK;TM_321GC_2;112,940634;TM_3
TEMPELMEIER;DISK;TM_322GC_2;114,271467;TM_3
TEMPELMEIER;DISK;TM_331GC_2;115,6573906;TM_3
TEMPELMEIER;DISK;TM_332GC_2;112,3653755;TM_3
TEMPELMEIER;DISK;TM_411AA_1;112,9200034;TM_4
TEMPELMEIER;DISK;TM_412AA_1;112,4377682;TM_4
TEMPELMEIER;DISK;TM_421AA_1;120,2246606;TM_4
TEMPELMEIER;DISK;TM_422AA_1;117,430373;TM_4
TEMPELMEIER;DISK;TM_431AA_1;114,8388522;TM_4
TEMPELMEIER;DISK;TM_432AA_1;115,8247862;TM_4
TEMPELMEIER;DISK;TM_411AA_2;113,3233786;TM_4
TEMPELMEIER;DISK;TM_412AA_2;113,77806;TM_4
TEMPELMEIER;DISK;TM_421AA_2;113,3732929;TM_4
TEMPELMEIER;DISK;TM_422AA_2;115,5897846;TM_4
TEMPELMEIER;DISK;TM_431AA_2;113,4857271;TM_4
TEMPELMEIER;DISK;TM_432AA_2;112,9322903;TM_4
TEMPELMEIER;DISK;TM_411AC_1;115,1071849;TM_4
TEMPELMEIER;DISK;TM_412AC_1;113,7622526;TM_4
TEMPELMEIER;DISK;TM_421AC_1;112,8319983;TM_4
TEMPELMEIER;DISK;TM_422AC_1;112,2972519;TM_4
TEMPELMEIER;DISK;TM_431AC_1;112,0755837;TM_4
TEMPELMEIER;DISK;TM_432AC_1;115,6879394;TM_4
TEMPELMEIER;DISK;TM_411AC_2;113,5546315;TM_4
TEMPELMEIER;DISK;TM_412AC_2;112,669425;TM_4
TEMPELMEIER;DISK;TM_421AC_2;115,2092493;TM_4
TEMPELMEIER;DISK;TM_422AC_2;112,1303468;TM_4
TEMPELMEIER;DISK;TM_431AC_2;114,8189559;TM_4
TEMPELMEIER;DISK;TM_432AC_2;112,8148692;TM_4
TEMPELMEIER;DISK;TM_411GA_1;112,5373487;TM_4
TEMPELMEIER;DISK;TM_412GA_1;112,6758869;TM_4
TEMPELMEIER;DISK;TM_421GA_1;112,078335;TM_4
TEMPELMEIER;DISK;TM_422GA_1;113,7811248;TM_4
TEMPELMEIER;DISK;TM_431GA_1;112,9119308;TM_4
TEMPELMEIER;DISK;TM_432GA_1;112,4154496;TM_4
TEMPELMEIER;DISK;TM_411GA_2;113,7658391;TM_4
TEMPELMEIER;DISK;TM_412GA_2;111,878279;TM_4
TEMPELMEIER;DISK;TM_421GA_2;115,7248852;TM_4
TEMPELMEIER;DISK;TM_422GA_2;113,786067;TM_4
TEMPELMEIER;DISK;TM_431GA_2;113,7426805;TM_4
TEMPELMEIER;DISK;TM_432GA_2;114,7890794;TM_4
TEMPELMEIER;DISK;TM_411GC_1;113,4272881;TM_4
TEMPELMEIER;DISK;TM_412GC_1;114,3422587;TM_4
TEMPELMEIER;DISK;TM_421GC_1;113,1415994;TM_4
TEMPELMEIER;DISK;TM_422GC_1;113,1942303;TM_4
TEMPELMEIER;DISK;TM_431GC_1;112,7722781;TM_4
TEMPELMEIER;DISK;TM_432GC_1;114,367172;TM_4
TEMPELMEIER;DISK;TM_411GC_2;115,9255385;TM_4
TEMPELMEIER;DISK;TM_412GC_2;112,5662222;TM_4
TEMPELMEIER;DISK;TM_421GC_2;111,3805094;TM_4
